epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4930.83,0.23275,0.16297,0.8192,0.99335,0.92279,0.96224,0.91961,0.27325,0.20837,0.83511,0.000400902,0.000400902,0.000400902
61,5015.31,0.23188,0.16091,0.81199,0.99634,0.9232,0.96401,0.9226,0.27196,0.21578,0.82652,0.000397769,0.000397769,0.000397769
62,5097.88,0.22576,0.1586,0.81235,0.99209,0.93141,0.95975,0.92366,0.2664,0.21794,0.83352,0.000394599,0.000394599,0.000394599
63,5180.12,0.2293,0.1629,0.81661,0.98997,0.9269,0.96481,0.92233,0.26773,0.21851,0.83105,0.000391394,0.000391394,0.000391394
64,5264.52,0.2272,0.16057,0.81775,0.98989,0.91959,0.96699,0.92098,0.27146,0.20557,0.83769,0.000388155,0.000388155,0.000388155
65,5347.53,0.2187,0.15534,0.81013,0.99133,0.9139,0.96371,0.92233,0.25999,0.2029,0.83076,0.000384883,0.000384883,0.000384883
66,5429.01,0.22681,0.16098,0.81657,0.9895,0.92977,0.96161,0.92175,0.26275,0.20827,0.82911,0.000381577,0.000381577,0.000381577
67,5511.8,0.22913,0.1629,0.82126,0.97899,0.93423,0.96501,0.92508,0.25604,0.21012,0.82457,0.00037824,0.00037824,0.00037824
68,5593.84,0.22512,0.15852,0.81668,0.99757,0.93002,0.9663,0.92427,0.2558,0.2089,0.8188,0.000374871,0.000374871,0.000374871
69,5675.89,0.22914,0.16372,0.81859,0.99612,0.9362,0.96214,0.92746,0.25639,0.2079,0.81201,0.000371472,0.000371472,0.000371472
70,5758.96,0.21801,0.15397,0.80555,0.99926,0.9312,0.95896,0.92401,0.25204,0.2175,0.81715,0.000368044,0.000368044,0.000368044
71,5841.82,0.22062,0.15597,0.80956,0.9976,0.92922,0.96486,0.92341,0.26282,0.21117,0.83472,0.000364587,0.000364587,0.000364587
72,5924.03,0.21916,0.15488,0.81008,0.99062,0.92181,0.95899,0.92218,0.26426,0.21214,0.83676,0.000361102,0.000361102,0.000361102
73,6005.43,0.21513,0.15367,0.80787,0.98563,0.93069,0.96089,0.923,0.2602,0.21253,0.83226,0.00035759,0.00035759,0.00035759
74,6088.15,0.22321,0.15444,0.81032,0.99144,0.92929,0.96034,0.92637,0.26021,0.19678,0.83628,0.000354053,0.000354053,0.000354053
75,6170.48,0.22223,0.1558,0.80873,0.99265,0.92733,0.95952,0.91987,0.27108,0.20469,0.84244,0.00035049,0.00035049,0.00035049
76,6254.82,0.22376,0.1569,0.81427,0.98655,0.92862,0.95902,0.92389,0.26733,0.20905,0.83622,0.000346902,0.000346902,0.000346902
77,6337.84,0.21989,0.15345,0.81166,0.99481,0.92454,0.95956,0.92266,0.27337,0.21021,0.84205,0.000343292,0.000343292,0.000343292
78,6422.68,0.21084,0.15064,0.8117,0.99859,0.92869,0.9658,0.92655,0.26284,0.20938,0.83991,0.000339659,0.000339659,0.000339659
79,6505.48,0.21907,0.14807,0.81176,0.98903,0.93135,0.96417,0.92454,0.2707,0.21413,0.8403,0.000336004,0.000336004,0.000336004
80,6587.22,0.22061,0.15654,0.81936,0.98364,0.92642,0.96211,0.91903,0.27041,0.21135,0.83913,0.000332328,0.000332328,0.000332328
1,70.0773,0.27306,0.1921,0.83182,0.99529,0.91668,0.95922,0.90719,0.30504,0.24566,0.85398,0.0270859,9.20245e-05,9.20245e-05
2,148.051,0.24809,0.17323,0.8209,0.99605,0.91997,0.96257,0.91457,0.29617,0.24172,0.85057,0.00401901,0.000184651,0.000184651
3,226.404,0.23983,0.16738,0.81478,0.9987,0.92896,0.96229,0.91108,0.29474,0.2431,0.84815,0.000199951,0.000199951,0.000199951
4,304.24,0.23325,0.16143,0.81313,0.99544,0.92452,0.96157,0.9123,0.29553,0.25065,0.8504,0.00019989,0.00019989,0.00019989
